Alkaline-earth metals,碱土金属
"Chemical reagents, other than for medical or veterinary purposes",非医用、非兽医用化学试剂
"Chemical substances for analyses in laboratories, other than for medical or veterinary purposes",实验室分析用化学品(非医用、非兽医用)
"Chemical preparations for analyses in laboratories, other than for medical or veterinary purposes",实验室分析用化学制剂(非医用、非兽医用)
Cryogenic preparations,低温实验制剂
"Diagnostic preparations, other than for medical or veterinary purposes",非医用、非兽医用诊断制剂
"Reagent paper, other than for medical or veterinary purposes",试纸(非医用、非兽医用)
"Test paper, chemical",化学试纸
Nitrate paper,硝酸盐纸
Litmus paper,石蕊试纸
"Biological preparations, other than for medical or veterinary purposes",非医用、非兽医用生物制剂
"Bacterial preparations, other than for medical and veterinary use",非医用、非兽医用细菌制剂
"Bacteriological preparations, other than for medical and veterinary use",非医用、非兽医用细菌学研究制剂
"Cultures of microorganisms, other than for medical and veterinary use",非医用、非兽医用微生物培养物
Electrophoresis gels,电泳凝胶
Genes of seeds for agricultural production,农业生产用种子基因
"Stem cells, other than for medical or veterinary purposes",非医用、非兽医用干细胞
"Biological tissue cultures, other than for medical or veterinary purposes",非医用、非兽医用生物组织培养物
"Preparations of microorganisms, other than for medical and veterinary use",非医用、非兽医用微生物制剂
"Adjuvants, other than for medical or veterinary purposes",非医用、非兽医用佐剂
Reducing agents for use in photography,摄影用还原剂
Albumenized paper,蛋白纸
Self-toning paper [photography],自动着色纸(摄影用)
Fixing baths [photography],定影液(摄影)
Toning baths [photography],调色定影液(摄影用)
Baryta paper,氧化钡纸
Chemical preparations for use in photography,摄影用化学制剂
Sensitized cloth for photography,照相感光布
Photosensitive plates,感光板
Solutions for cyanotyping,晒蓝图用溶液
Diazo paper,重氮纸
Photographic emulsions,摄影感光乳剂
Sensitized photographic plates,感光照相板
Ferrotype plates [photography],铁板照相板(摄影用)
Fixing solutions [photography],定影溶液(摄影)
Photographic paper,相纸
Gelatine for photographic purposes,摄影用明胶
Sensitized plates for offset printing,胶印用感光板
Photometric paper,光度测定纸
Sensitized paper,感光纸
Pectin [photography],摄影用果胶
Blueprint paper,蓝图纸
Blueprint cloth,蓝图布
Photographic developers,摄影用显影剂
Photographic sensitizers,摄影用感光剂
"X-ray films, sensitized but not exposed",未曝光的X光感光胶片
Toning salts [photography],调色盐(摄影用)
"Sensitized films, unexposed",未曝光的感光胶片
"Cinematographic film, sensitized but not exposed",未曝光的感光电影胶片
"Cinematographic films, sensitized but not exposed",未曝光的感光电影胶片
Spectrum-sensitive plate,光谱感光板
Blue printing paper,晒图纸
Plasticizers,增塑剂
"Epoxy resins, unprocessed",未加工环氧树脂
"Plastics, unprocessed",未加工塑料
"Artificial resins, unprocessed",未加工人造树脂
"Synthetic resins, unprocessed",未加工合成树脂
"Acrylic resins, unprocessed",未加工丙烯酸树脂
Silicones,硅氧烷
Silicones,硅酮
Dispersions of plastics,塑料分散剂
Filtering materials [unprocessed plastics],过滤材料(未加工塑料)
"Polymer resins, unprocessed",未加工聚合树脂
Polypropylene,聚丙烯
Celluloids,赛璐珞
Phenol-formaldehyde resin,酚醛树脂
Urea-formaldehyde resin,脲醛树脂
Casein resin,酪素树脂
Polyvinyl chloride resin,聚氯乙烯树脂
Mastic gum,玛脂
Phenolic moulding powder,电木粉
Bakelite powder,胶木粉
Silicone plastics,硅塑料
Moulding plastics,模塑料
Moulding paste,塑膏
Triorthocresol phosphate,磷酸三甲酚酯
Organic silicon resin,有机硅树脂
Ion-exchange resin,离子交换树脂
Adipic acid hexamethylene diamine salt,尼龙66盐
Seaweeds [fertilisers],海藻(肥料)
Seaweeds [fertilizers],海藻(肥料)
Soil conditioning preparations,土壤调节制剂
Nitrogenous fertilisers,氮肥
Nitrogenous fertilizers ,氮肥
Calcium cyanamide [fertilizer],氰氨化钙(肥料)
Calcium cyanamide [fertiliser],氰氨化钙(肥料)
Fertilisers,肥料
Fertilizers,肥料
Fertilising preparations,肥料制剂
Fertilizing preparations,肥料制剂
Guano,鸟粪
Humus,腐殖土
Phosphates [fertilisers],磷酸盐(肥料)
Phosphates [fertilizers] ,磷酸盐(肥料)
Slag [fertilizers],矿渣(肥料)
Slag [fertilisers],矿渣(肥料)
Superphosphates [fertilisers],过磷酸盐(肥料)
Superphosphates [fertilizers] ,过磷酸盐(肥料)
Peat pots for horticulture,园艺用罐装泥炭
Salts [fertilisers],盐类(肥料)
Salts [fertilizers],盐类(肥料)
Soil for growing,种植土
Loam,壤土
Peat [fertiliser],泥炭(肥料)
Peat [fertilizer],泥炭(肥料)
Substrates for soil-free growing [agriculture],无土生长培养基(农业)
Compost,混合肥料
Plant growth regulating preparations,植物生长调节剂
Humus top dressing,腐殖质表层肥
Expanded clay for hydroponic plant growing [substrate],溶液培养的植物用多孔黏土
Fish meal fertilizers,鱼粉肥料
Fish meal fertilisers,鱼粉肥料
Potting soil,盆栽土
Organic digestate [fertilizer],降解有机物(肥料)
Organic digestate [fertiliser],降解有机物(肥料)
Topsoil,表土
Animal manure,厩肥
Chemical fertilizer,化学肥料
Vegetable fertilizer,植物肥料
Animal fertilizer,动物肥料
Fire extinguishing compositions,灭火合成物
Fireproofing preparations,防火制剂
Flame retardant,阻燃剂
Fire-extinguishing foam liquid,消防泡沫液
Fire-extinguishing powder,灭火药粉
Metal annealing preparations,金属退火剂
Metal tempering preparations,金属回火剂
Quench liquid,淬火剂
Quenching oil,淬火油
Brazing preparations,铜焊制剂
Soldering chemicals,焊接用化学品
Welding chemicals,焊接用化学品
Brazing fluxes,铜焊助剂
Soldering fluxes,助焊剂
Bacteriological preparations for acetification,醋化用细菌制剂
Chemical substances for preserving foodstuffs,食物防腐用化学品
Oenological bactericides [chemical preparations for use in wine making],酿葡萄酒用杀菌剂(制葡萄酒用化学制剂)
Benzoic sulfimide,苯甲酸酰亚胺
Saccharin,糖精
Beer-clarifying and preserving agents,啤酒澄清剂和防腐剂
Must-fining preparations,(未发酵)葡萄汁澄清剂
Wine finings,葡萄酒澄清剂
Wine finings,酒澄清用制剂
Filtering preparations for the beverages industry,饮料工业用的过滤制剂
Chemical preparations for smoking meat,熏肉用化学制剂
Hormones for hastening the ripening of fruit,水果催熟用激素
Oils for the preservation of food,保存食物用油
Milk ferments for chemical purposes,化学用牛奶发酵剂
Meat tenderizers for industrial purposes,工业用嫩肉剂
Anti-sprouting preparations for vegetables,防止蔬菜发芽剂
Artificial sweeteners [chemical preparations],人造增甜剂(化学制剂)
Beer preserving agents,啤酒防腐剂
Enzyme preparations for the food industry,食品工业用酶制剂
Enzymes for the food industry,食品工业用酶
Glucose for the food industry,食品工业用葡萄糖
Lecithin for the food industry,食品工业用卵磷脂
Pectin for the food industry,食品工业用果胶
Cream of tartar for the food industry,食品工业用酒石酸氢钾
Alginates for the food industry,食品工业用藻酸盐
Gluten for the food industry,食品工业用谷蛋白
Lactose for the food industry,食品工业用乳糖
Milk ferments for the food industry,食品工业用牛奶发酵剂
Milk ferments for industrial purposes,工业用牛奶发酵剂
Casein for the food industry,食品工业用酪蛋白
Tea extracts for use in the manufacture of pharmaceuticals,制药用茶提取物
Tea extracts for the food industry,食品工业用茶提取物
Tea extracts for use in the manufacture of cosmetics,制化妆品用茶提取物
Vitamins for use in the manufacture of food supplements,制食品补充剂用维生素
Vitamins for the food industry,食品工业用维生素
Antioxidants for use in the manufacture of cosmetics,制化妆品用抗氧化剂
Antioxidants for use in the manufacture of pharmaceuticals,制药用抗氧化剂
Antioxidants for use in the manufacture of food supplements,制食品补充剂用抗氧化剂
Proteins for use in the manufacture of food supplements,制食品补充剂用蛋白质
Proteins for the food industry,食品工业用蛋白质
Vitamins for use in the manufacture of pharmaceuticals,制药用维生素
Vitamins for use in the manufacture of cosmetics,制化妆品用维生素
Tan-wood,鞣料木
Leather-renovating chemicals,皮革翻新用化学品
Bate for dressing skins,使皮革软化的脱灰碱液
"Dressing, except oils, for skins",除油外的皮革处理剂
Currying preparations for leather,皮革鞣剂
Currying preparations for leather,鞣皮革制剂
Currying preparations for skins,生皮鞣剂
Currying preparations for skins,鞣皮剂
Leather-dressing chemicals,皮革修整化学品
Leather-dressing chemicals,皮革表面处理用化学制品
Leather-impregnating chemicals,皮革浸渍化学品
Sizing preparations,上浆剂
Gallotannic acid,鞣酸
Gambier,黑儿茶
Oils for preparing leather in the course of manufacture,制革用油
Oils for tanning leather,鞣革用油
Leather-waterproofing chemicals,皮革防水化学品
Sumac for use in tanning,鞣革用漆叶
Tan,鞣料(鞣革剂)
Tanning substances,鞣革物
Oils for currying leather,皮革整理用油
Adhesives for industrial purposes,工业用粘合剂
Adhesive preparations for surgical bandages,外科绷带用粘合制剂
Gum tragacanth for industrial purposes,工业用黄蓍胶
Adhesives for billposting,粘贴海报用粘合剂
Compositions for repairing inner tubes of tires [tyres],补轮胎内胎用合成物
Gum arabic for industrial purposes,工业用阿拉伯树胶
Glutinous preparations for tree-banding,树木嫁接用粘性制剂
Glutinous preparations for tree-grafting,树木嫁接用粘性制剂
Glutinous tree-banding preparations,树木嫁接用粘性制剂
Glutinous tree-grafting preparations,树木嫁接用粘性制剂
Viscose,粘胶液
Cement [metallurgy],冶金粘合剂
Cement for footwear,鞋用粘合剂
Mastic for leather,皮革粘合剂
Cement for pneumatic tires [tyres],充气轮胎粘合剂
Mastic for tires,轮胎粘合剂
Mastic for tyres,轮胎粘合剂
Mastic for tires [tyres],轮胎胶粘剂
Cement for mending broken articles,修补破碎物品的粘合剂
Adhesives for wallpaper,墙纸用粘合剂
Adhesives for paperhanging,裱墙纸用粘合剂
Leather glues,皮革胶
Dextrin [size],上浆糊精
Foundry binding substances,铸造用粘合物质
Gelatine for industrial purposes,工业用明胶
Birdlime,粘鸟胶
Grafting mastic for trees,树木嫁接用胶粘剂
Plastisols,增塑溶胶
Compositions for repairing tires [tyres],补轮胎用合成物
Tire repairing compositions,补轮胎用合成物
Tyre repairing compositions,补轮胎用合成物
"Starch paste [adhesive], other than for stationery or household purposes",非文具、非家用淀粉浆糊
Adhesives for wall tiles,墙砖粘合剂
Glue for industrial purposes,工业用胶
"Gluten [glue], other than for stationery or household purposes",非文具、非家用谷朊胶
Gums [adhesives] for industrial purposes,工业用树胶(粘合剂)
"Isinglass other than for stationery, household or alimentary purposes",非文具、非家用、非食用鱼胶
Polyurethane,聚氨酯
Polychloroprene,氯丁胶
Polyvinyl acetate emulsion,聚醋酸乙烯乳液
Curing agent,固化剂
Hardening agent,固化剂
Wood pulp,木浆
Paper pulp,纸浆
Cellulose paste,纤维素浆
